               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.046137,           0.0082761,           0.0056565,             0.75613,             0.94765,             0.92963,             0.48628,            0.053992,           0.0054148,           0.0056526,           0.0058746,           0.0058746,            0.046575
                  66,            0.043595,            0.008151,           0.0054396,             0.94495,             0.91021,             0.96498,             0.70901,            0.053832,           0.0052479,           0.0056893,            0.005962,            0.005962,            0.045762
                  67,            0.042219,           0.0081683,           0.0051573,              0.8979,             0.96796,              0.9726,             0.47652,            0.052692,           0.0052563,           0.0059868,           0.0060493,           0.0060493,            0.044949
                  68,            0.051062,           0.0080928,           0.0051097,             0.83901,             0.97601,             0.95208,             0.68495,            0.060157,           0.0052056,           0.0072977,           0.0061366,           0.0061366,            0.044137
                  69,            0.048198,           0.0084229,           0.0057793,             0.79503,             0.97619,             0.95359,             0.55493,            0.053903,           0.0051243,           0.0089815,           0.0062238,           0.0062238,            0.043324
                  70,             0.04065,           0.0081457,           0.0053849,              0.8435,             0.97614,             0.97259,             0.69831,             0.04651,           0.0049155,            0.010375,           0.0063109,           0.0063109,            0.042511
                  71,            0.043443,           0.0084968,           0.0051862,             0.87749,             0.97619,             0.94656,             0.57123,            0.053034,           0.0052167,            0.012126,           0.0063979,           0.0063979,            0.041698
                  72,             0.04556,           0.0087666,           0.0051666,             0.77192,             0.96256,             0.96056,             0.69155,            0.051154,           0.0050934,            0.011899,           0.0064848,           0.0064848,            0.040885
                  73,            0.043899,           0.0075398,           0.0053264,             0.85341,              0.9757,             0.90214,             0.53366,            0.047856,           0.0050569,            0.012998,           0.0065716,           0.0065716,            0.040072
                  74,            0.044983,           0.0080241,           0.0068927,             0.81151,             0.93685,             0.95135,             0.62585,            0.047035,            0.005176,            0.012585,           0.0066584,           0.0066584,            0.039258
                  75,             0.04034,           0.0078989,           0.0053357,             0.63638,             0.95265,             0.86238,             0.47618,            0.043633,           0.0051886,            0.013372,           0.0067451,           0.0067451,            0.038445
                  76,            0.037721,           0.0082181,           0.0058854,             0.97221,             0.95487,             0.97075,             0.67269,            0.042339,           0.0050097,             0.01073,           0.0068317,           0.0068317,            0.037632
                  77,             0.03522,            0.007542,           0.0043971,             0.81435,               0.976,             0.91013,             0.59639,             0.03961,           0.0048665,           0.0096409,           0.0069182,           0.0069182,            0.036818
                  78,            0.041923,           0.0076092,           0.0037282,             0.91053,             0.97619,             0.95584,             0.67527,            0.041928,           0.0048044,           0.0078014,           0.0070046,           0.0070046,            0.036005
                  79,            0.037173,           0.0069752,           0.0054637,             0.90411,             0.97619,             0.94166,             0.68135,            0.040087,           0.0046927,           0.0074011,           0.0070909,           0.0070909,            0.035191
                  80,            0.035866,           0.0086633,           0.0043327,             0.95092,             0.97539,             0.97264,             0.66194,            0.042834,           0.0046526,           0.0085875,           0.0071771,           0.0071771,            0.034377
                  81,            0.035327,           0.0069285,           0.0044061,             0.88965,             0.95256,             0.96173,             0.67748,             0.04769,           0.0045246,           0.0089261,           0.0072632,           0.0072632,            0.033563
                  82,            0.038218,           0.0071964,           0.0036653,             0.96321,             0.97619,             0.96678,             0.73581,            0.042932,           0.0045005,            0.010015,           0.0073492,           0.0073492,            0.032749
                  83,            0.035425,           0.0076356,           0.0045628,             0.96453,             0.97565,             0.97266,             0.71685,            0.045352,           0.0045098,            0.010587,           0.0074352,           0.0074352,            0.031935
                  84,            0.040072,           0.0073053,           0.0046211,             0.82954,             0.97091,             0.95092,             0.71165,            0.043208,           0.0045294,            0.010723,            0.007521,            0.007521,            0.031121
                  85,            0.037194,           0.0077109,           0.0045516,             0.93237,             0.91914,             0.95949,             0.70124,            0.048604,           0.0044316,            0.010369,           0.0076067,           0.0076067,            0.030307
                  86,            0.037755,           0.0076488,           0.0048416,             0.90974,              0.9754,             0.97268,             0.79575,            0.042978,           0.0043673,            0.010034,           0.0076923,           0.0076923,            0.029492
                  87,            0.036672,           0.0067107,           0.0039219,             0.90911,             0.95979,             0.97269,             0.78769,              0.0469,           0.0042927,           0.0097859,           0.0077779,           0.0077779,            0.028678
                  88,            0.038248,           0.0069068,           0.0042342,             0.97555,             0.94407,             0.97267,             0.74282,            0.045991,           0.0044476,           0.0097128,           0.0078633,           0.0078633,            0.027863
                  89,            0.036393,           0.0066689,           0.0044368,             0.97511,              0.9761,             0.97265,             0.69759,            0.041502,           0.0043152,            0.010292,           0.0079486,           0.0079486,            0.027049
                  90,            0.033827,           0.0066387,           0.0041851,             0.87107,             0.96436,             0.94987,             0.75225,            0.036695,           0.0042499,            0.010102,           0.0080338,           0.0080338,            0.026234
                  91,            0.042117,           0.0064989,           0.0037487,             0.95722,             0.97619,             0.97267,             0.76259,            0.045118,           0.0044151,           0.0087772,            0.008119,            0.008119,            0.025419
                  92,            0.036815,           0.0064868,           0.0040469,             0.95397,             0.97605,             0.97267,             0.47076,             0.04225,           0.0045886,           0.0083595,            0.008204,            0.008204,            0.024604
                  93,            0.046227,           0.0067825,           0.0042608,             0.73349,             0.96303,             0.94465,             0.59636,             0.04254,           0.0046033,           0.0087575,           0.0082889,           0.0082889,            0.023789
                  94,            0.038339,           0.0079238,           0.0046517,             0.80584,             0.96348,             0.96115,             0.59556,            0.043767,           0.0045933,           0.0090808,           0.0083736,           0.0083736,            0.022974
                  95,             0.03868,           0.0072356,           0.0048786,             0.89811,             0.88355,             0.95353,             0.59512,             0.04833,           0.0044627,           0.0080925,           0.0084583,           0.0084583,            0.022158
                  96,            0.037042,            0.006613,           0.0042806,             0.87198,             0.92718,             0.90466,             0.63023,            0.047998,           0.0043936,           0.0078514,           0.0085429,           0.0085429,            0.021343
                  97,            0.037862,           0.0071222,           0.0042459,             0.77714,             0.95238,              0.9081,             0.65198,            0.049255,           0.0046559,           0.0080561,           0.0086273,           0.0086273,            0.020527
                  98,            0.041895,           0.0068825,            0.004285,             0.96235,             0.96303,             0.96873,             0.71187,            0.050003,           0.0045744,           0.0092745,           0.0087117,           0.0087117,            0.019712
                  99,            0.037254,           0.0070284,           0.0044094,             0.97474,             0.97619,             0.97269,             0.65342,            0.044965,           0.0042979,           0.0098616,           0.0087959,           0.0087959,            0.018896
                 100,            0.033793,           0.0066245,           0.0043152,             0.92413,             0.97517,             0.94579,              0.6802,             0.03877,           0.0044683,           0.0097468,             0.00888,             0.00888,             0.01808
