    57/499     2.23G   0.02914   0.01266  0.003763   0.04556        50       640    0.9361     0.987    0.9846    0.7751   0.02175  0.008776  0.004213
    58/499     2.23G   0.02759   0.01184   0.00353   0.04296        55       640    0.9751    0.9447    0.9869    0.7335   0.02281  0.008591  0.003993
    59/499     2.23G   0.02649   0.01271  0.003559   0.04276        44       640    0.9608    0.9875    0.9951    0.7372   0.01992  0.008285  0.004028
    60/499     2.23G   0.02813   0.01267  0.003693    0.0445        67       640    0.9784    0.9812    0.9947    0.7572   0.01892  0.008723  0.003991
    61/499     2.23G   0.02604   0.01189  0.003433   0.04136        53       640    0.9685    0.9897    0.9943    0.7029   0.02064  0.008914  0.003666
    62/499     2.23G   0.02643   0.01173  0.003111   0.04127        46       640    0.9803    0.9895    0.9951    0.7441   0.01855  0.008794  0.003531
    63/499     2.23G   0.02728   0.01191  0.003386   0.04258        47       640    0.9725    0.9875    0.9951    0.7374   0.02181  0.009418  0.003431
    64/499     2.23G   0.02575   0.01171  0.003445   0.04091        50       640    0.9569    0.9937    0.9951     0.769    0.0176  0.008907   0.00352
    65/499     2.23G   0.02748   0.01241  0.003043   0.04293        55       640    0.9839    0.9937     0.995     0.769   0.02017  0.008655  0.003571
    66/499     2.23G   0.02601     0.012  0.003355   0.04137        50       640    0.9842    0.9895    0.9945    0.7165   0.01902  0.008387  0.003408
    67/499     2.23G   0.02683   0.01151  0.002964    0.0413        43       640    0.9807    0.9693    0.9935    0.7231   0.02144  0.008739  0.003296
    68/499     2.23G    0.0246   0.01194  0.002958    0.0395        52       640    0.9626    0.9699     0.994    0.7349   0.02107  0.008422  0.002932
    69/499     2.23G   0.02409   0.01144  0.002664    0.0382        52       640    0.9743    0.9689    0.9953    0.7328   0.01859  0.008081  0.002843
    70/499     2.23G   0.02393    0.0116  0.003021   0.03855        61       640    0.9856    0.9876    0.9954    0.7217   0.01849  0.008203  0.002961
    71/499     2.23G    0.0235   0.01129  0.003037   0.03783        38       640     0.924    0.9774    0.9901    0.6794   0.02056  0.008129  0.002842
    72/499     2.23G   0.02719   0.01122  0.002921   0.04133        50       640    0.9072    0.9829    0.9929    0.6953   0.02462  0.008767  0.002829
    73/499     2.23G   0.02564   0.01153  0.002775   0.03995        48       640    0.9759    0.9911    0.9937    0.7883   0.01666  0.008157  0.002791
    74/499     2.23G   0.02383   0.01126  0.003035   0.03812        29       640    0.9732    0.9895    0.9934    0.7469   0.01976  0.008147  0.002685
    75/499     2.23G     0.026   0.01194    0.0031   0.04104        42       640    0.9599     0.991    0.9952    0.7596   0.01738  0.007803  0.002706
    76/499     2.23G   0.02495   0.01134  0.002802    0.0391        48       640    0.9846    0.9937    0.9926    0.7929   0.01972  0.008069  0.002599
    77/499     2.23G   0.02304   0.01127  0.002677   0.03699        51       640     0.985     0.983    0.9951    0.7252   0.01701  0.007619  0.002455
    78/499     2.23G    0.0225   0.01144    0.0024   0.03635        54       640    0.9653    0.9825    0.9946     0.758   0.01973  0.007855  0.002419
    79/499     2.23G   0.02293   0.01099  0.002784    0.0367        49       640    0.9795    0.9821    0.9947    0.7992    0.0175  0.008037  0.002511
    80/499     2.23G   0.02395   0.01086  0.002811   0.03762        29       640    0.9843    0.9825    0.9947    0.7832   0.01666  0.007767    0.0025
    81/499     2.23G   0.02363   0.01088  0.002487   0.03699        56       640    0.9842    0.9377     0.993    0.7454   0.01824  0.007885  0.002383
    82/499     2.23G   0.02236   0.01087  0.002505   0.03574        37       640    0.9808    0.9825    0.9934    0.7814   0.01605  0.007441  0.002414
    83/499     2.23G   0.02203   0.01083  0.002521   0.03538        63       640    0.9828    0.9823    0.9939    0.7507   0.01753  0.007964  0.002325
